episode,total_reward,steps,success,epsilon,rolling_success
1,-15.549,100,0,1.0,0.0
2,-14.253,100,0,0.995,0.0
3,-12.659,100,0,0.990025,0.0
4,-17.542,100,0,0.985075,0.0
5,-15.699,100,0,0.98015,0.0
