episode,total_reward,steps,success,epsilon,rolling_success
1,-13.555,100,0,1.0,0.0
2,-12.658,100,0,0.995,0.0
3,-17.741,100,0,0.990025,0.0
4,-19.236,100,0,0.985075,0.0
5,-21.628,100,0,0.98015,0.0
